contig	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
NODE_228_length_5111_cov_5.083433	4.0503035	0.0000000	2.5795655	2.4699550	1.1996477	0.7044432	0.4691721	0.1757683	0.0000000	0.0000000
NODE_229_length_5042_cov_96.637865	17.7793655	15.0069447	36.8418655	28.7795639	12.8648806	7.2948413	27.6769848	20.6460323	25.4355164	17.5283737
NODE_230_length_5033_cov_17.789346	15.5239515	0.0000000	10.2669449	6.9258595	2.9371893	1.4826078	1.8397933	0.4166170	0.0000000	0.0000000
NODE_231_length_4880_cov_31.599625	10.0151701	2.2755227	9.5334158	14.0711355	2.7535875	2.4895449	7.1203361	4.4196391	15.1047564	2.5711358
NODE_232_length_4874_cov_7.943923	5.4053779	0.0000000	4.6699510	4.5584974	1.6541462	0.4909688	0.5217570	0.0000000	0.0000000	0.0000000
NODE_233_length_4841_cov_94.651553	17.2903500	12.9929733	33.8704262	28.3606110	13.2845631	7.8851004	26.8111172	18.4246750	32.7952042	15.4879103
NODE_234_length_4839_cov_14.372533	5.1784163	1.0837296	4.5978913	9.4025221	0.7099442	0.7715526	4.5608850	0.8683068	3.5935497	1.0853835
NODE_235_length_4794_cov_49.543354	7.1917782	9.2441568	22.8921127	11.7322617	5.7739983	2.9321787	13.9904003	12.9146490	11.0056343	11.9641066
NODE_236_length_4719_cov_59.004308	12.5878735	9.6351490	23.3553104	18.4405346	8.8151369	4.5422940	16.6359978	12.6953573	16.4174271	9.9277086
NODE_237_length_4657_cov_81.450437	13.0060148	12.2418909	32.1802368	23.2395267	9.9551020	7.2661653	24.3997860	18.1415691	22.0934486	18.0910854
NODE_238_length_4623_cov_72.516498	15.2220297	10.0225058	25.5645962	22.8069687	7.4637523	6.1519151	19.8677769	14.8980742	24.2904129	14.2826223
NODE_239_length_4616_cov_75.747742	16.2750320	11.1514950	26.1772861	22.4679241	9.1402254	6.5936279	21.1928921	15.7128305	24.0691376	15.2241001
NODE_240_length_4546_cov_92.444171	21.3864441	14.4095507	33.3813820	30.5534763	8.5768042	6.7218308	22.3235035	18.2475796	28.7867527	17.8741188
