v_idx, sample, gene, unitig, mask, mask_degen, haplos, X, X_est, R2, tau
262,7,COG0096,3,1.0,1.0,0_1_2,15.006075675675678,10.49223279238918,21.081432691867782,0.04780658045914059
262,8,COG0096,3,1.0,1.0,0_1_2,16.36622702702703,16.26278011459891,1.5212087899109927,0.043991635259435204
262,9,COG0096,3,1.0,1.0,0_1_2,8.432432432432433,11.06888604940021,7.493485482663952,0.07213791991508496
264,0,COG0096,7,1.0,1.0,0_2,12.871097162162163,15.132105559751968,6.00749382570098,0.054546466443570356
264,1,COG0096,7,1.0,1.0,0_2,12.243243243243244,11.6641441326705,0.8382442390363697,0.056721557369296925
264,2,COG0096,7,1.0,1.0,0_2,25.062122972972972,29.323888337135866,20.75879038780163,0.026256866908863946
264,3,COG0096,7,1.0,1.0,0_2,21.1901972972973,21.933441273725062,2.2038167904669006,0.03293048427164585
264,4,COG0096,7,1.0,1.0,0_2,15.199415135135133,8.615434715275194,43.67500392110204,0.047242844604785915
264,5,COG0096,7,1.0,1.0,0_2,4.6827752702702705,6.111530080179927,2.2295437174034034,0.09187061801126037
264,6,COG0096,7,1.0,1.0,0_2,14.466901891891892,20.522017532818456,38.033800436850925,0.04941801593225447
264,7,COG0096,7,1.0,1.0,0_2,9.83644608108108,14.175270460446155,19.594096863547882,0.06598183937743253
264,8,COG0096,7,1.0,1.0,0_2,29.038524324324328,21.994832261113128,51.333785748288086,0.02092212285108624
264,9,COG0096,7,1.0,1.0,0_2,17.187636216216216,15.024664968070898,5.461141787578228,0.04185029685582088
265,0,COG0096,9,1.0,1.0,1,0.49705527027027024,0.6293483831705625,0.7624385154017516,0.12108714557842383
265,1,COG0096,9,1.0,1.0,1,1.2295562702702703,0.37044649530004103,0.8162053717577342,0.11532008653108258
265,2,COG0096,9,1.0,1.0,1,5.650726081081081,2.2651761234272842,12.977715922606862,0.08626821056427447
265,3,COG0096,9,1.0,1.0,1,4.028761621621622,1.2455849415616782,9.086567893558295,0.0958795265738958
265,4,COG0096,9,1.0,1.0,1,0.0,0.42849708134016484,0.3482848210504159,0.1251783736930039
265,5,COG0096,9,1.0,1.0,1,0.49705527027027024,0.2588879092486882,0.10682221511381346,0.12108714557842383
265,6,COG0096,9,1.0,1.0,1,4.473497432432433,1.6060442022695145,8.989380101054213,0.09313322730334674
265,7,COG0096,9,1.0,1.0,1,6.540197702702703,1.084125285160916,30.40498739094072,0.08144681481242985
265,8,COG0096,9,1.0,1.0,1,4.918233243243244,1.4915438221307447,12.918145946608231,0.09047228075559988
265,9,COG0096,9,1.0,1.0,1,0.0,0.5622903846832017,0.5281707169280963,0.1251783736930039
263,0,COG0096,5,1.0,1.0,0_1_2,136.61455405405408,105.78487545390037,1025.2615386073235,0.0002807154505109605
263,1,COG0096,5,1.0,1.0,0_1_2,108.59705216216217,81.00814434069807,789.9607497526268,0.0006362201031298964
263,2,COG0096,5,1.0,1.0,0_1_2,241.50707567567565,204.4630406840307,1567.6405736599377,4.982607039202262e-05
263,3,COG0096,5,1.0,1.0,0_1_2,215.50188648648648,153.22924267877562,4015.9784799361746,6.556579975253298e-05
263,4,COG0096,5,1.0,1.0,0_1_2,54.5319145945946,60.09021652622378,53.18633639320102,0.005536441936374744
263,5,COG0096,5,1.0,1.0,0_1_2,31.269359459459462,42.52109880724142,137.64531556983698,0.01846329676677251
263,6,COG0096,5,1.0,1.0,0_1_2,142.82705405405406,143.09292705902183,100.72675583564428,0.00023992220886741143
263,7,COG0096,5,1.0,1.0,0_1_2,131.7573864864865,99.07006080703297,1131.8038331180617,0.0003192708939458601
263,8,COG0096,5,1.0,1.0,0_1_2,217.6604783783784,153.55688791173358,4244.798895216286,6.389270914601866e-05
263,9,COG0096,5,1.0,1.0,0_1_2,118.7917310810811,104.5149526967837,252.55385437040212,0.00046226480814551475
266,0,COG0097,3,1.0,0.0,0_1_2,136.61455405405408,108.22851584336195,1033.9029843604555,0.0002807154505109605
266,1,COG0097,3,1.0,0.0,0_1_2,108.59705216216217,79.16150083504708,987.8716090258085,0.0006362201031298964
266,2,COG0097,3,1.0,0.0,0_1_2,241.50707567567565,205.67856493395917,1967.4690747043487,4.982607039202262e-05
266,3,COG0097,3,1.0,0.0,0_1_2,215.50188648648648,156.0959247858785,3972.9063848050932,6.556579975253298e-05
266,4,COG0097,3,1.0,0.0,0_1_2,54.5319145945946,60.40761775638848,106.38107055708056,0.005536441936374744
266,5,COG0097,3,1.0,0.0,0_1_2,31.269359459459462,42.238937080154194,149.81591908812825,0.01846329676677251
266,6,COG0097,3,1.0,0.0,0_1_2,142.82705405405406,144.06657548949642,331.5138370156356,0.00023992220886741143
266,7,COG0097,3,1.0,0.0,0_1_2,131.7573864864865,101.27934623616855,1119.3426328752437,0.0003192708939458601
266,8,COG0097,3,1.0,0.0,0_1_2,217.6604783783784,156.33063949577604,4143.962799826243,6.389270914601866e-05
266,9,COG0097,3,1.0,0.0,0_1_2,118.7917310810811,103.28722290193316,431.613714749359,0.00046226480814551475
269,0,COG0100,7,1.0,1.0,0_2,20.779054054054058,18.1768468465773,7.935580418352048,0.033742487512572396
269,1,COG0100,7,1.0,1.0,0_2,12.999831081081082,14.011829352514356,1.6856555403968843,0.05411186092880743
269,2,COG0100,7,1.0,1.0,0_2,30.160641891891895,35.22488830834111,28.98579579682718,0.019642712003320927
269,3,COG0100,7,1.0,1.0,0_2,36.776858108108115,26.346822022163874,110.91502365449959,0.01365913637789411
269,4,COG0100,7,1.0,1.0,0_2,12.482939189189189,10.349150096380054,4.987617728983471,0.05588017282993276
269,5,COG0100,7,1.0,1.0,0_2,6.69375,7.34150470368132,0.6728709606022819,0.08064458840114509
269,6,COG0100,7,1.0,1.0,0_2,26.20641891891892,24.65176091491674,4.191365423783352,0.02458175940037235
